Affiliation;Mean acceptance;hi_1mi_2low_3;Sig;latitude;longitude
Peking University;0.3289333;2;1;39.986913;116.3058739
Cairo University;0.3450667;3;1;30.0273542;31.209125
University of Dhaka;0.3452;3;1;23.7338766;90.3929471
University of Tokyo;0.3497333;1;1;35.7126775;139.761989
University of Lagos;0.3522667;3;1;6.515759;3.3898447
University of Melbourne;0.3605333;2;1;-37.7983459;144.960974
University of Amsterdam;0.3606667;2;1;52.35581819999999;4.955726299999999
University of Tehran;0.3630667;3;1;35.7022192;51.39573069999999
University of Zurich;0.3641333;2;1;47.3745896;8.5486629
Johns Hopkins University;0.3652;1;0;39.3299013;-76.6205177
University of Nairobi;0.3670667;3;0;-1.2920659;36.8219462
University of California, San Francisco;0.3692;1;0;37.7626459;-122.4587106
Karolinska Institute;0.3702667;1;0;59.34814839999999;18.0236578
Universidad Nacional AutÃ³noma de MÃ©xico;0.3718667;3;0;19.4247826;-97.00415249999999
University of Ghana;0.3722667;3;0;5.650562;-0.1962244
Oxford University;0.3749333;1;0;51.7578559;-1.2617891
Universidad de Chile;0.3781333;3;0;-35.675147;-71.542969
Seoul National University;0.3785333;2;0;37.4593505;126.9511364
Universidad de Buenos Aires;0.3796;3;0;-34.5998875;-58.37306949999999
University of Toronto;0.3829333;2;0;43.6633848;-79.3960062
University of California, Los Angeles (UCLA);0.3838667;1;0;34.0699182;-118.4438495
University of Cape Town;0.3856;2;0;-33.957652;18.4611991
University of Sydney;0.3922667;2;1;-33.8885748;151.1873494
University of Cambridge;0.3934667;1;1;;
University of the Philippines Manila;0.3946667;3;1;14.5777477;120.9853666
Harvard Medical School;0.3958667;1;1;42.3356451;-71.104215
McGill University;0.396;2;1;45.50478469999999;-73.5771511
Kings College London;0.3977333;2;1;51.5072178;-0.1275862
Massachusetts Institute of Technology (MIT);0.4184;1;1;42.360091;-71.09416
Stanford University;0.4196;1;1;37.42766;-122.17006
