aff_num;aOR;P>z;sig;Tier_himilo
Cairo University;0,79;0.000;1;3
Harvard Medical School;1,17;0.000;1;1
Johns Hopkins University;0,93;0.114;0;1
Karolinska Institute;0,97;0.463;0;1
Kings College London;1,19;0.000;1;2
Massachusetts Institute of Technology (MIT);1,38;0.000;1;1
McGill University;1,17;0.000;1;2
Peking University;0,7;0.000;1;2
Seoul National University;1,03;0.514;0;2
Stanford University;1,39;0.000;1;1
Universidad Nacional AutÃ³noma de MÃ©xico;0,98;0.623;0;3
Universidad de Buenos Aires;1,04;0.408;0;3
Universidad de Chile;1,03;0.581;0;3
University of Amsterdam;0,9;0.016;1;2
University of California, Los Angeles (UCLA);1,07;0.123;0;1
University of California, San Francisco;0,96;0.366;0;1
University of Cambridge;1,15;0.002;1;1
University of Cape Town;1,08;0.071;0;2
University of Dhaka;0,8;0.000;1;3
University of Ghana;0,98;0.709;0;3
University of Lagos;0,84;0.000;1;3
University of Melbourne;0,9;0.018;1;2
University of Nairobi;0,94;0.192;0;3
University of Sydney;1,14;0.004;1;2
University of Tehran;0,91;0.046;1;3
University of Tokyo;0,82;0.000;1;1
University of Toronto;1,06;0.164;0;2
University of Zurich;0,92;0.077;0;2
University of the Philippines Manila;1,16;0.001;1;3
blind;1,21;0.000;1;
