aff_num;aOR;P>z;sig;Tier_himilo;latitude;longitude
Cairo University;0,79;0.0;1;3.0;30.0273542;31.209125
Harvard Medical School;1,17;0.0;1;1.0;42.3356451;-71.104215
Johns Hopkins University;0,93;0.114;0;1.0;39.3299013;-76.6205177
Karolinska Institute;0,97;0.463;0;1.0;59.34814839999999;18.0236578
Kings College London;1,19;0.0;1;2.0;51.5072178;-0.1275862
Massachusetts Institute of Technology (MIT);1,38;0.0;1;1.0;42.360091;-71.09416
McGill University;1,17;0.0;1;2.0;45.50478469999999;-73.5771511
Peking University;0,7;0.0;1;2.0;39.986913;116.3058739
Seoul National University;1,03;0.514;0;2.0;37.4593505;126.9511364
Stanford University;1,39;0.0;1;1.0;37.4274745;-122.169719
Universidad Nacional AutÃ³noma de MÃ©xico;0,98;0.623;0;3.0;19.4247826;-97.00415249999999
Universidad de Buenos Aires;1,04;0.408;0;3.0;-34.5998875;-58.37306949999999
Universidad de Chile;1,03;0.581;0;3.0;-33.4445204;-70.6509277
University of Amsterdam;0,9;0.016;1;2.0;52.35581819999999;4.955726299999999
University of California, Los Angeles (UCLA);1,07;0.123;0;1.0;34.0699182;-118.4438495
University of California, San Francisco;0,96;0.366;0;1.0;37.7626459;-122.4587106
University of Cambridge;1,15;0.002;1;1.0;;
University of Cape Town;1,08;0.071;0;2.0;-33.957652;18.4611991
University of Dhaka;0,8;0.0;1;3.0;23.7338766;90.3929471
University of Ghana;0,98;0.709;0;3.0;5.650562;-0.1962244
University of Lagos;0,84;0.0;1;3.0;6.515759;3.3898447
University of Melbourne;0,9;0.018;1;2.0;-37.7983459;144.960974
University of Nairobi;0,94;0.192;0;3.0;-1.2920659;36.8219462
University of Sydney;1,14;0.004;1;2.0;;
University of Tehran;0,91;0.046;1;3.0;35.7022192;51.39573069999999
University of Tokyo;0,82;0.0;1;1.0;35.7126775;139.761989
University of Toronto;1,06;0.164;0;2.0;43.6633848;-79.3960062
University of Zurich;0,92;0.077;0;2.0;47.3745896;8.5486629
University of the Philippines Manila;1,16;0.001;1;3.0;14.5777477;120.9853666
blind;1,21;0.0;1;;;
