title;doi;authors;date;;
Association between vaccination rates and severe COVID-19 health outcomes in the United States: a population-level statistical analysis;10.1101/2023.06.14.23291388;"Du, H.; Saiyed, S.; Gardner, L. M.";15.06.2023;;
Obesity Differs from Diabetes Mellitus in Antibody and T Cell Responses Post COVID-19 Recovery;10.1101/2023.06.14.23291375;"Ali, M.; Longet, S.; Neale, I.; Rongkard, P.; Chowdhury, F. U. H.; Hill, J.; Brown, A.; Laidlaw, S.; Tipton, T.; Hoque, A.; Hassan, N.; Hackstein, C.-P.; Adele, S.; Akther, H. D.; Abraham, P.; Paul, S.; Rahman, M. M.; Alam, M. M.; Parvin, S.; Mollah, F. H.; Hoque, M. M.; Moore, S. C.; Biswas, S. K.; Turtle, L.; de Silva, T. I.; Ogbe, A.; Frater, J.; Barnes, E.; Tomic, A.; Carroll, M. W.; Klenerman, P.; Kronsteiner, B.; Chowdhury, F. R.; Dunachie, S. J.";15.06.2023;;
The accumulation of erythrocytes quantified and visualized by Glycophorin C in carotid atherosclerotic plaque reflects intraplaque hemorrhage and pre-procedural neurological symptoms.;10.1101/2021.07.15.21260570;"Mekke, J. M.; Sakkers, T. R.; Verwer, M. C.; van den Dungen, N.; Song, Y.; Miller, C. L.; Finn, A. V.; den Ruijter, H. M.; Pasterkamp, G.; Mokry, M.; de Kleijn, D. P. V.; de Borst, G. J.; Haitjema, S.; van der Laan, S. W.";15.06.2023;;
Findings in Travel-related Thrombosis and COVID-19 Related Cardiac Biomarker Data: Combination of Novel Review Strategy and Meta-analysis Method Discovered Twenty-eight Days Cycles of Thrombosis and Latent Subgroup Patterns;10.1101/2022.06.06.22275944;"Kimoto, K.; Yamakuchi, M.; Takenouchi, K.; Hashiguchi, T.";15.06.2023;;
ACE-2-like enzymatic activity is associated with immunoglobulin in COVID-19 patients;10.1101/2022.12.19.22283685;"Song, Y.; Myers, R.; Murphy, L.; Brooks, B.; Wilson, J. M.; Kadl, A.; Woodfolk, J. A.; Zeichner, S. L.";15.06.2023;;
Monitoring of azathioprine metabolite concentrations and cytokine levels in neuromyelitis optica spectrum disorder;10.1101/2023.06.08.23290121;"Huang, Q.; Wei, J.; Luo, C.; Qin, J.; Tang, C.; Li, L.; Zhou, H.; Zhong, K.; Lin, B.; Tang, Y.";15.06.2023;;
Inflammatory profiles are associated with long COVID up to 6 months after illness onset: a prospective cohort study of individuals with mild to critical COVID-19;10.1101/2023.06.14.23291395;"Wynberg, E.; Han, A. X.; van Willigen, H. D. G.; Verveen, A.; van Pul, L.; Maurer, I.; van Leeuwen, E. M.; van den Aardweg, J. G.; de Jong, M.; Nieuwkerk, P. T.; Prins, M.; Kootstra, N. A.; de Bree, G. J.; The RECoVERED Study Group,  ";15.06.2023;;
Gut microbiota dysbiosis observed in tuberculosis patients resolves partially with anti-tuberculosis therapy.;10.1101/2023.06.14.23291387;"Sahu, S.; Kaushik, S. R.; Chaudhary, S.; MOHAPATRA, A. K.; Kappa, R.; Kapfo, W.; Saha, S.; Das, R.; Das, A.; Khamo, V.; NANDA, R.";15.06.2023;;
Heterogeneous treatment effects of intensive glycemic control on kidney microvascular outcomes in ACCORD;10.1101/2023.06.14.23291396;"Charu, V.; Liang, J. W.; Chertow, G. M.; Li, Z. J.; Montez-Rath, M. E.; Geldsetzer, P.; de Boer, I. H.; Tian, L.; Tamura, M. K.";15.06.2023;;
Cohort Profile: Born in Wales - a birth cohort with maternity, parental, and child data linkage for life course research in Wales, UK;10.1101/2023.06.14.23291389;"Jones, H. E.; Seaborne, M. J.; Kennedy, N. L.; James, M. L.; Dredge, S. J.; Bandyopadhyay, A.; Battaglia, A.; Davies, S.; Brophy, S.";15.06.2023;;
Effectiveness of filtering or decontaminating air to reduce or prevent respiratory infections: A systematic review;10.1101/2023.06.15.23291419;"Brainard, J. S.; Jones, N. R.; Swindells, I. C.; Archer, E. J.; Kolyva, A.; Letley, C.; Pond, K.; Lake, I. R.; Hunter, P. R.";15.06.2023;;
Imprecision nutrition? Duplicate meals result in unreliable individual glycemic responses measured by continuous glucose monitors across three dietary patterns in adults without diabetes;10.1101/2023.06.14.23291406;"Hengist, A.; Guo, J.; Hall, K. D.";15.06.2023;;
Rapid measurement and machine learning classification of color vision deficiency;10.1101/2023.06.14.23291402;"He, J.; Bex, P. J.; Skerswetat, J.";15.06.2023;;
Automated clinical conversations across the cataract pathway with an artificial intelligence (AI) conversation agent: a UK regional service evaluation protocol;10.1101/2023.06.14.23291399;"Automated cataract surgery telephone consult evaluation collaboration,  ; Higham, A.";15.06.2023;;
Randomized Trial of Ketamine Masked by Surgical Anesthesia in Depressed Patients;10.1101/2023.04.28.23289210;"Lii, T. R.; Smith, A. E.; Flohr, J. R.; Okada, R. L.; Nyongesa, C. A.; Cianfichi, L. J.; Hack, L. M.; Schatzberg, A. F.; Heifets, B. D.";15.06.2023;;
Bidirectional two-sample Mendelian randomization study of differential white blood cell count and schizophrenia;10.1101/2023.05.19.23290200;"Leung, P. B.; Liu, Z.; Zhong, Y.; Di Forti, M.; Murray, R. M.; So, H.-C.; Sham, P. C.; Lui, S. S.";14.06.2023;;
SARS-CoV-2 Spike Protein Receptor Binding-ACE2 Interaction Increases Carbohydrate Sulfotransferases and Reduces N-Acetylgalactosamine-4-Sulfatase through Phospho-p38-MAPK and RB-E2F1;10.1101/2023.01.24.23284890;"Tobacman, J. K.; Bhattacharyya, S.";14.06.2023;;
School Distress in UK school children: A story dominated by neurodivergence and unmet need;10.1101/2022.09.28.22280324;"Connolly, S.; Constable, H.; Mullally, S. L.";14.06.2023;;
Real-world performance and safety of Halova ovules in reducing the vaginal symptoms associated with vulvovaginal atrophy and postmenopausal sexual dysfunction;10.1101/2023.05.17.23290093;"Iliescu, D. G.; Petrita, R.; Teodorescu, C.; Olaru, R. A.; Toma, A. D.";14.06.2023;;
Defining the molecular correlate of arteriolar hyalinosis in kidney disease progression by integration of single cell transcriptomic analysis and pathology scoring;10.1101/2023.06.14.23291150;"Menon, R.; Otto, E. A.; Barisoni, L.; Melo Ferreira, R.; Limonte, C. P.; Godfrey, B.; Eichinger, F.; Nair, V.; Naik, A. S.; Subramanian, L.; D'Agati, V.; Henderson, J. M.; Herlitz, L.; Kiryluk, K.; Moledina, D. G.; Moeckel, G. W.; Palevsky, P. M.; Parikh, C. R.; Randhawa, P.; Rosas, S. E.; Rosenberg, A. Z.; Stillman, I.; Toto, R.; Torrealba, J.; Vasquez, M. A.; Waikar, S.; Alpers, C. E.; Nelson, R. G.; Eadon, M. T.; Kretzler, M.; Hodgin, J. B.";14.06.2023;;
